Frames	sa_pro	sa_A	sa_C	sa_buried
959	12426.7041	12581.0498	346.6164856	500.9621887
960	12627.03613	12762.84863	354.5124512	490.3249512
961	12426.12891	12577.73047	346.632843	498.2344055
962	12365.28613	12513.11328	348.6338501	496.4609985
963	12582.52539	12734.10938	346.303833	497.8878174
964	12636.2373	12763.25586	344.3369446	471.3554993
965	12474.97266	12600.61035	339.0299377	464.6676331
966	12635.08594	12734.43945	343.7774658	443.1309814
967	12537.24609	12675.4668	347.2076111	485.4283142
968	12465.28711	12613.69922	348.9116211	497.3237305
969	12346.375	12490.46777	343.0353394	487.1281128
970	12585.63086	12720.58789	345.4008179	480.3578491
971	12467.15723	12582.81836	338.6521606	454.3132935
972	12527.31348	12651.98047	337.1276245	461.7946167
973	12480.43359	12605.20117	340.1392517	464.9068298
974	12623.5918	12777.61719	343.281311	497.3067017
975	12614.7998	12735.5	340.170166	460.8703613
976	12608.29297	12731.27734	335.4917603	458.4761353
977	12419.31445	12534.7832	343.446228	458.914978
978	12440.53613	12552.51074	347.2947998	459.2694092
979	12574.37988	12701.49902	344.2813721	471.4005127
980	12591.74316	12736.5	345.3248901	490.0817261
981	12738.08496	12846.91699	343.1519165	451.9839478
982	12619.28223	12754.27734	341.3013916	476.2965088
983	12732.98633	12814.56836	340.4963684	422.0783997
984	12549.88086	12687.91895	344.5698853	482.6079712
985	12821.94434	12960.94922	340.3546753	479.3595581
986	12640.11133	12749.15332	348.1234436	457.1654358
987	12418.62695	12557.38086	344.2489624	483.0028687
988	12628.07129	12773.18262	339.6521912	484.7635193
989	12860.11621	12981.69141	349.5632935	471.1384888
990	12593.68066	12731.5498	346.3872375	484.2563782
991	12809.71582	12938.08984	347.2395325	475.6135559
992	12963.28711	13086.7998	344.6915283	468.2042236
993	12927.64941	13058.72461	347.887207	478.9624023
994	12699.47559	12835.78418	339.8964844	476.2050781
995	12537.47754	12694.19531	356.5021667	513.2199402
996	12901.04785	13025.90527	354.1859131	479.043335
997	12745.21777	12915.2666	347.0286255	517.0774536
998	13018.58203	13177.22754	344.1763916	502.8218994
999	13121.85547	13246.94922	344.4337158	469.5274658
1000	12925.9209	13062.37012	351.3273315	487.7765503
1001	12940.10254	13050.18457	354.9786682	465.0606995
1002	13075.68164	13242.01953	347.650177	513.9880676
1003	13260.7168	13398.21875	341.8560486	479.3580017
1004	13111.62598	13264.78516	349.6362	502.7953796
1005	12806.69238	12957.34766	343.4738464	494.1291199
1006	12989.10352	13146.9209	349.7432251	507.5606079
1007	13094.7627	13248.32617	347.7793579	501.3428345
1008	13016.82031	13173.68555	349.5238342	506.3890686
1009	12707.29785	12865.32422	342.3200378	500.346405
1010	13065.78418	13213.15234	344.8207703	492.1889343
1011	13100.13672	13257.11816	350.8372498	507.8186951
1012	13025.52637	13158.0752	341.6816406	474.2304688
1013	12760.45215	12915.60059	345.9140015	501.062439
1014	12751.86328	12872.45996	341.2461243	461.842804
1015	12905.34277	13031.22656	335.898407	461.782196
1016	12890.05957	13014.73047	347.4262695	472.097168
1017	12749.92383	12885.48047	342.013916	477.5705566
1018	13008.62207	13078.8916	350.9576111	421.2271423
1019	12969.98438	13126.35352	355.2812195	511.6503601
1020	12953.32031	13103.9834	345.7906189	496.4537048
1021	12725.7832	12857.99316	347.4421082	479.6520691
1022	12711.57813	12854.97949	346.3211365	489.7225037
1023	12699.72754	12827.43652	351.1149902	478.8239746
1024	12907.05273	13045.98242	335.4803772	474.4100647
1025	13093.19336	13225.5	337.9552307	470.2618713
1026	12989.86133	13123.2334	346.3367615	479.7088318
1027	12980.37402	13106.35449	354.556427	480.5368958
1028	12791.25879	12954.72461	357.0802307	520.546051
1029	12579.67188	12742.27441	345.3392334	507.9417725
1030	12533.60938	12665.62598	349.0492859	481.0658875
1031	12665.3623	12803.91309	350.2905884	488.8413696
1032	12668.86426	12756.99316	327.9888	416.1177063
1033	12688.77832	12789.6748	349.7841797	450.6806641
1034	12671.43164	12802.28223	344.9264832	475.7770691
1035	12629.75781	12745.37109	353.793396	469.4066772
1036	12708.01953	12835.11328	360.5704346	487.6641846
1037	12626.80371	12745.86719	328.5032959	447.5667725
1038	12755.63867	12904.48926	337.3475342	486.1981201
1039	13072.8916	13203.22852	358.7578125	489.0947266
1040	12805.89355	12917.05566	347.7049866	458.8670959
1041	12686.3457	12817.47656	345.6860352	476.8168945
1042	12680.55664	12835.09766	344.3414917	498.8825073
1043	12650.66895	12805.56348	340.5037231	495.3982544
1044	12741.41113	12930.67773	342.8796997	532.1463013
1045	12793.48242	12962.66504	348.2604065	517.4430237
